metric,value,key,project
CYCLO_LOC,0.21,AW6YLE7haJeJxCSCrwib,alf.io
FANOUT_CALLS,0.17,AW6YLE7haJeJxCSCrwib,alf.io
AHH,0.0,AWvEBQp37BGPHuO3iMI5,alf.io
NOC_NOP,5.22,AWvEBQp37BGPHuO3iMI5,alf.io
NOM_NOC,3.33,AWvEBQp37BGPHuO3iMI5,alf.io
LOC_NOM,3.8,AWvEBQp37BGPHuO3iMI5,alf.io
CALLS_NOM,2.05,AWvEBQp37BGPHuO3iMI5,alf.io
CYCLO_LOC,0.21,AWvEBQp37BGPHuO3iMI5,alf.io
FANOUT_CALLS,0.16,AWvEBQp37BGPHuO3iMI5,alf.io
AHH,0.0,AWwkQggbW8tMQ_EcCF5-,alf.io
NOC_NOP,5.14,AWwkQggbW8tMQ_EcCF5-,alf.io
NOM_NOC,3.34,AWwkQggbW8tMQ_EcCF5-,alf.io
LOC_NOM,3.82,AWwkQggbW8tMQ_EcCF5-,alf.io
CALLS_NOM,2.06,AWwkQggbW8tMQ_EcCF5-,alf.io
CYCLO_LOC,0.21,AWwkQggbW8tMQ_EcCF5-,alf.io
FANOUT_CALLS,0.17,AWwkQggbW8tMQ_EcCF5-,alf.io
AHH,0.0,AWw0Y2WaIMOe96U6ccss,alf.io
NOC_NOP,5.09,AWw0Y2WaIMOe96U6ccss,alf.io
NOM_NOC,3.47,AWw0Y2WaIMOe96U6ccss,alf.io
LOC_NOM,3.8,AWw0Y2WaIMOe96U6ccss,alf.io
CALLS_NOM,2.1,AWw0Y2WaIMOe96U6ccss,alf.io
CYCLO_LOC,0.21,AWw0Y2WaIMOe96U6ccss,alf.io
FANOUT_CALLS,0.17,AWw0Y2WaIMOe96U6ccss,alf.io
AHH,0.0,AWuYrBEoW3oRL9pxja5G,alf.io
NOC_NOP,5.09,AWuYrBEoW3oRL9pxja5G,alf.io
NOM_NOC,3.32,AWuYrBEoW3oRL9pxja5G,alf.io
LOC_NOM,3.76,AWuYrBEoW3oRL9pxja5G,alf.io
CALLS_NOM,2.04,AWuYrBEoW3oRL9pxja5G,alf.io
CYCLO_LOC,0.21,AWuYrBEoW3oRL9pxja5G,alf.io
FANOUT_CALLS,0.17,AWuYrBEoW3oRL9pxja5G,alf.io
AHH,0.0,AWuvUPQgv_PjJ-UOfy1o,alf.io
NOC_NOP,5.09,AWuvUPQgv_PjJ-UOfy1o,alf.io
NOM_NOC,3.32,AWuvUPQgv_PjJ-UOfy1o,alf.io
LOC_NOM,3.76,AWuvUPQgv_PjJ-UOfy1o,alf.io
CALLS_NOM,2.04,AWuvUPQgv_PjJ-UOfy1o,alf.io
CYCLO_LOC,0.21,AWuvUPQgv_PjJ-UOfy1o,alf.io
FANOUT_CALLS,0.17,AWuvUPQgv_PjJ-UOfy1o,alf.io
AHH,0.0,AW69tsBd_TDA0Kp8fI6T,alf.io
NOC_NOP,5.19,AW69tsBd_TDA0Kp8fI6T,alf.io
NOM_NOC,3.35,AW69tsBd_TDA0Kp8fI6T,alf.io
LOC_NOM,4.16,AW69tsBd_TDA0Kp8fI6T,alf.io
CALLS_NOM,2.15,AW69tsBd_TDA0Kp8fI6T,alf.io
CYCLO_LOC,0.21,AW69tsBd_TDA0Kp8fI6T,alf.io
FANOUT_CALLS,0.17,AW69tsBd_TDA0Kp8fI6T,alf.io
AHH,0.0,AWy6bMuMGiD8zJdnwr97,alf.io
NOC_NOP,5.09,AWy6bMuMGiD8zJdnwr97,alf.io
NOM_NOC,3.48,AWy6bMuMGiD8zJdnwr97,alf.io
LOC_NOM,3.81,AWy6bMuMGiD8zJdnwr97,alf.io
CALLS_NOM,2.11,AWy6bMuMGiD8zJdnwr97,alf.io
CYCLO_LOC,0.21,AWy6bMuMGiD8zJdnwr97,alf.io
FANOUT_CALLS,0.17,AWy6bMuMGiD8zJdnwr97,alf.io
AHH,0.0,AWxoCg-u5ULuzyOxRhXa,alf.io
NOC_NOP,5.12,AWxoCg-u5ULuzyOxRhXa,alf.io
NOM_NOC,3.46,AWxoCg-u5ULuzyOxRhXa,alf.io
LOC_NOM,3.81,AWxoCg-u5ULuzyOxRhXa,alf.io
CALLS_NOM,2.1,AWxoCg-u5ULuzyOxRhXa,alf.io
CYCLO_LOC,0.21,AWxoCg-u5ULuzyOxRhXa,alf.io
FANOUT_CALLS,0.17,AWxoCg-u5ULuzyOxRhXa,alf.io
AHH,0.0,AWuY5G_Av7VSpZCtghXJ,alf.io
NOC_NOP,5.09,AWuY5G_Av7VSpZCtghXJ,alf.io
NOM_NOC,3.32,AWuY5G_Av7VSpZCtghXJ,alf.io
LOC_NOM,3.76,AWuY5G_Av7VSpZCtghXJ,alf.io
CALLS_NOM,2.04,AWuY5G_Av7VSpZCtghXJ,alf.io
CYCLO_LOC,0.21,AWuY5G_Av7VSpZCtghXJ,alf.io
FANOUT_CALLS,0.17,AWuY5G_Av7VSpZCtghXJ,alf.io
AHH,0.0,AWuuGgYNBA_P1GG62GRJ,alf.io
NOC_NOP,5.09,AWuuGgYNBA_P1GG62GRJ,alf.io
NOM_NOC,3.32,AWuuGgYNBA_P1GG62GRJ,alf.io
LOC_NOM,3.76,AWuuGgYNBA_P1GG62GRJ,alf.io
CALLS_NOM,2.04,AWuuGgYNBA_P1GG62GRJ,alf.io
CYCLO_LOC,0.21,AWuuGgYNBA_P1GG62GRJ,alf.io
FANOUT_CALLS,0.17,AWuuGgYNBA_P1GG62GRJ,alf.io
AHH,0.0,AWudnxCOdgEyLZvlcNFU,alf.io
NOC_NOP,5.09,AWudnxCOdgEyLZvlcNFU,alf.io
NOM_NOC,3.32,AWudnxCOdgEyLZvlcNFU,alf.io
LOC_NOM,3.76,AWudnxCOdgEyLZvlcNFU,alf.io
CALLS_NOM,2.04,AWudnxCOdgEyLZvlcNFU,alf.io
CYCLO_LOC,0.21,AWudnxCOdgEyLZvlcNFU,alf.io
FANOUT_CALLS,0.17,AWudnxCOdgEyLZvlcNFU,alf.io
AHH,0.0,AWv__Tglt8Yy9tTWiA-S,alf.io
NOC_NOP,5.22,AWv__Tglt8Yy9tTWiA-S,alf.io
NOM_NOC,3.33,AWv__Tglt8Yy9tTWiA-S,alf.io
LOC_NOM,3.8,AWv__Tglt8Yy9tTWiA-S,alf.io
CALLS_NOM,2.05,AWv__Tglt8Yy9tTWiA-S,alf.io
CYCLO_LOC,0.21,AWv__Tglt8Yy9tTWiA-S,alf.io
FANOUT_CALLS,0.16,AWv__Tglt8Yy9tTWiA-S,alf.io
AHH,0.0,AWwUI7cqS8X08MRy317T,alf.io
NOC_NOP,5.17,AWwUI7cqS8X08MRy317T,alf.io
NOM_NOC,3.34,AWwUI7cqS8X08MRy317T,alf.io
LOC_NOM,3.8,AWwUI7cqS8X08MRy317T,alf.io
CALLS_NOM,2.06,AWwUI7cqS8X08MRy317T,alf.io
CYCLO_LOC,0.21,AWwUI7cqS8X08MRy317T,alf.io
FANOUT_CALLS,0.17,AWwUI7cqS8X08MRy317T,alf.io
AHH,0.0,AWwuQBRciV0xWg5RKnd-,alf.io
NOC_NOP,5.14,AWwuQBRciV0xWg5RKnd-,alf.io
NOM_NOC,3.34,AWwuQBRciV0xWg5RKnd-,alf.io
LOC_NOM,3.82,AWwuQBRciV0xWg5RKnd-,alf.io
CALLS_NOM,2.06,AWwuQBRciV0xWg5RKnd-,alf.io
CYCLO_LOC,0.21,AWwuQBRciV0xWg5RKnd-,alf.io
FANOUT_CALLS,0.17,AWwuQBRciV0xWg5RKnd-,alf.io
AHH,0.0,AW8vFI10s3ZA5X17epy7,alf.io
NOC_NOP,5.04,AW8vFI10s3ZA5X17epy7,alf.io
NOM_NOC,3.33,AW8vFI10s3ZA5X17epy7,alf.io
LOC_NOM,4.08,AW8vFI10s3ZA5X17epy7,alf.io
CALLS_NOM,1.88,AW8vFI10s3ZA5X17epy7,alf.io
CYCLO_LOC,0.21,AW8vFI10s3ZA5X17epy7,alf.io
FANOUT_CALLS,0.19,AW8vFI10s3ZA5X17epy7,alf.io
AHH,0.0,AW8UllRHVI--xHvm9vuB,alf.io
NOC_NOP,5.04,AW8UllRHVI--xHvm9vuB,alf.io
NOM_NOC,3.33,AW8UllRHVI--xHvm9vuB,alf.io
LOC_NOM,4.08,AW8UllRHVI--xHvm9vuB,alf.io
CALLS_NOM,1.88,AW8UllRHVI--xHvm9vuB,alf.io
CYCLO_LOC,0.21,AW8UllRHVI--xHvm9vuB,alf.io
FANOUT_CALLS,0.19,AW8UllRHVI--xHvm9vuB,alf.io
AHH,0.0,AWwU_WRwVNyNuuCjcBFW,alf.io
NOC_NOP,5.14,AWwU_WRwVNyNuuCjcBFW,alf.io
NOM_NOC,3.34,AWwU_WRwVNyNuuCjcBFW,alf.io
LOC_NOM,3.81,AWwU_WRwVNyNuuCjcBFW,alf.io
CALLS_NOM,2.06,AWwU_WRwVNyNuuCjcBFW,alf.io
CYCLO_LOC,0.21,AWwU_WRwVNyNuuCjcBFW,alf.io
FANOUT_CALLS,0.17,AWwU_WRwVNyNuuCjcBFW,alf.io
AHH,0.1,AWWvitc5lgbYnohYRGRs,artemis-manager
NOC_NOP,3.87,AWWvitc5lgbYnohYRGRs,artemis-manager
NOM_NOC,3.19,AWWvitc5lgbYnohYRGRs,artemis-manager
LOC_NOM,8.3,AWWvitc5lgbYnohYRGRs,artemis-manager
CALLS_NOM,6.0,AWWvitc5lgbYnohYRGRs,artemis-manager
CYCLO_LOC,0.11,AWWvitc5lgbYnohYRGRs,artemis-manager
FANOUT_CALLS,0.28,AWWvitc5lgbYnohYRGRs,artemis-manager
AHH,0.1,AWjc292NU3nm-Crv4ude,artemis-manager
NOC_NOP,4.12,AWjc292NU3nm-Crv4ude,artemis-manager
NOM_NOC,3.27,AWjc292NU3nm-Crv4ude,artemis-manager
LOC_NOM,8.35,AWjc292NU3nm-Crv4ude,artemis-manager
CALLS_NOM,6.04,AWjc292NU3nm-Crv4ude,artemis-manager
CYCLO_LOC,0.1,AWjc292NU3nm-Crv4ude,artemis-manager
FANOUT_CALLS,0.29,AWjc292NU3nm-Crv4ude,artemis-manager
AHH,0.21,AV6FwkAzI7opDV7vaIZB,artemis-manager
NOC_NOP,3.0,AV6FwkAzI7opDV7vaIZB,artemis-manager
NOM_NOC,4.86,AV6FwkAzI7opDV7vaIZB,artemis-manager
LOC_NOM,8.06,AV6FwkAzI7opDV7vaIZB,artemis-manager
CALLS_NOM,6.34,AV6FwkAzI7opDV7vaIZB,artemis-manager
CYCLO_LOC,0.12,AV6FwkAzI7opDV7vaIZB,artemis-manager
FANOUT_CALLS,0.3,AV6FwkAzI7opDV7vaIZB,artemis-manager
AHH,0.21,AV6VjA3gI7opDV7vcp-8,artemis-manager
NOC_NOP,3.0,AV6VjA3gI7opDV7vcp-8,artemis-manager
NOM_NOC,4.86,AV6VjA3gI7opDV7vcp-8,artemis-manager
LOC_NOM,8.06,AV6VjA3gI7opDV7vcp-8,artemis-manager
CALLS_NOM,6.34,AV6VjA3gI7opDV7vcp-8,artemis-manager
CYCLO_LOC,0.12,AV6VjA3gI7opDV7vcp-8,artemis-manager
FANOUT_CALLS,0.3,AV6VjA3gI7opDV7vcp-8,artemis-manager
AHH,0.05,AWt0QpI_pB8UmjzrgGI6,artemis-manager
NOC_NOP,5.6,AWt0QpI_pB8UmjzrgGI6,artemis-manager
NOM_NOC,2.48,AWt0QpI_pB8UmjzrgGI6,artemis-manager
LOC_NOM,10.46,AWt0QpI_pB8UmjzrgGI6,artemis-manager
CALLS_NOM,8.2,AWt0QpI_pB8UmjzrgGI6,artemis-manager
CYCLO_LOC,0.08,AWt0QpI_pB8UmjzrgGI6,artemis-manager
FANOUT_CALLS,0.22,AWt0QpI_pB8UmjzrgGI6,artemis-manager
AHH,0.12,AWVXvEs0lRPS_ea-dtk6,artemis-manager
NOC_NOP,3.85,AWVXvEs0lRPS_ea-dtk6,artemis-manager
NOM_NOC,3.29,AWVXvEs0lRPS_ea-dtk6,artemis-manager
LOC_NOM,8.29,AWVXvEs0lRPS_ea-dtk6,artemis-manager
CALLS_NOM,6.41,AWVXvEs0lRPS_ea-dtk6,artemis-manager
CYCLO_LOC,0.11,AWVXvEs0lRPS_ea-dtk6,artemis-manager
FANOUT_CALLS,0.27,AWVXvEs0lRPS_ea-dtk6,artemis-manager
AHH,0.07,AWqb9zI7EGMyMe6L8UR_,artemis-manager
NOC_NOP,4.66,AWqb9zI7EGMyMe6L8UR_,artemis-manager
NOM_NOC,2.92,AWqb9zI7EGMyMe6L8UR_,artemis-manager
LOC_NOM,9.88,AWqb9zI7EGMyMe6L8UR_,artemis-manager
CALLS_NOM,7.2,AWqb9zI7EGMyMe6L8UR_,artemis-manager
