metric,value,key,project
FANOUT/CALLS,0.17,AWztebT2i-6r2a6V30ab,alf.io
CYCLO,607,AWztebT2i-6r2a6V30ab,alf.io
FANOUT,264,AWztebT2i-6r2a6V30ab,alf.io
AHH,0,AW7cwIcwd3IRMDu57_vu,alf.io
NOC/NOP,5.19,AW7cwIcwd3IRMDu57_vu,alf.io
NOP,42,AW7cwIcwd3IRMDu57_vu,alf.io
NOM/NOC,3.35,AW7cwIcwd3IRMDu57_vu,alf.io
NOC,218,AW7cwIcwd3IRMDu57_vu,alf.io
LOC/NOM,4.16,AW7cwIcwd3IRMDu57_vu,alf.io
NOM,731,AW7cwIcwd3IRMDu57_vu,alf.io
CALLS/NOM,2.15,AW7cwIcwd3IRMDu57_vu,alf.io
CYCLO/LOC,0.21,AW7cwIcwd3IRMDu57_vu,alf.io
LOC,3047,AW7cwIcwd3IRMDu57_vu,alf.io
CALLS,1576,AW7cwIcwd3IRMDu57_vu,alf.io
FANOUT/CALLS,0.17,AW7cwIcwd3IRMDu57_vu,alf.io
CYCLO,650,AW7cwIcwd3IRMDu57_vu,alf.io
FANOUT,273,AW7cwIcwd3IRMDu57_vu,alf.io
AHH,0,AWxsCOEo2Hur5iaKD6O4,alf.io
NOC/NOP,5.12,AWxsCOEo2Hur5iaKD6O4,alf.io
NOP,41,AWxsCOEo2Hur5iaKD6O4,alf.io
NOM/NOC,3.46,AWxsCOEo2Hur5iaKD6O4,alf.io
NOC,210,AWxsCOEo2Hur5iaKD6O4,alf.io
LOC/NOM,3.81,AWxsCOEo2Hur5iaKD6O4,alf.io
NOM,728,AWxsCOEo2Hur5iaKD6O4,alf.io
CALLS/NOM,2.1,AWxsCOEo2Hur5iaKD6O4,alf.io
CYCLO/LOC,0.21,AWxsCOEo2Hur5iaKD6O4,alf.io
LOC,2777,AWxsCOEo2Hur5iaKD6O4,alf.io
CALLS,1536,AWxsCOEo2Hur5iaKD6O4,alf.io
FANOUT/CALLS,0.17,AWxsCOEo2Hur5iaKD6O4,alf.io
CYCLO,603,AWxsCOEo2Hur5iaKD6O4,alf.io
FANOUT,266,AWxsCOEo2Hur5iaKD6O4,alf.io
AHH,0,AW2IXgo9TOk9abGzpG7H,alf.io
NOC/NOP,5.19,AW2IXgo9TOk9abGzpG7H,alf.io
NOP,41,AW2IXgo9TOk9abGzpG7H,alf.io
NOM/NOC,3.42,AW2IXgo9TOk9abGzpG7H,alf.io
NOC,213,AW2IXgo9TOk9abGzpG7H,alf.io
LOC/NOM,3.96,AW2IXgo9TOk9abGzpG7H,alf.io
NOM,730,AW2IXgo9TOk9abGzpG7H,alf.io
CALLS/NOM,2.22,AW2IXgo9TOk9abGzpG7H,alf.io
CYCLO/LOC,0.21,AW2IXgo9TOk9abGzpG7H,alf.io
LOC,2892,AW2IXgo9TOk9abGzpG7H,alf.io
CALLS,1627,AW2IXgo9TOk9abGzpG7H,alf.io
FANOUT/CALLS,0.16,AW2IXgo9TOk9abGzpG7H,alf.io
CYCLO,627,AW2IXgo9TOk9abGzpG7H,alf.io
FANOUT,273,AW2IXgo9TOk9abGzpG7H,alf.io
AHH,0,AWwy1om4om5__Lmdzeuh,alf.io
NOC/NOP,5.17,AWwy1om4om5__Lmdzeuh,alf.io
NOP,41,AWwy1om4om5__Lmdzeuh,alf.io
NOM/NOC,3.33,AWwy1om4om5__Lmdzeuh,alf.io
NOC,212,AWwy1om4om5__Lmdzeuh,alf.io
LOC/NOM,3.81,AWwy1om4om5__Lmdzeuh,alf.io
NOM,707,AWwy1om4om5__Lmdzeuh,alf.io
CALLS/NOM,2.06,AWwy1om4om5__Lmdzeuh,alf.io
CYCLO/LOC,0.21,AWwy1om4om5__Lmdzeuh,alf.io
LOC,2697,AWwy1om4om5__Lmdzeuh,alf.io
CALLS,1459,AWwy1om4om5__Lmdzeuh,alf.io
FANOUT/CALLS,0.17,AWwy1om4om5__Lmdzeuh,alf.io
CYCLO,586,AWwy1om4om5__Lmdzeuh,alf.io
FANOUT,250,AWwy1om4om5__Lmdzeuh,alf.io
AHH,0,AW6YLE7haJeJxCSCrwib,alf.io
NOC/NOP,5.19,AW6YLE7haJeJxCSCrwib,alf.io
NOP,42,AW6YLE7haJeJxCSCrwib,alf.io
NOM/NOC,3.45,AW6YLE7haJeJxCSCrwib,alf.io
NOC,218,AW6YLE7haJeJxCSCrwib,alf.io
LOC/NOM,4.04,AW6YLE7haJeJxCSCrwib,alf.io
NOM,754,AW6YLE7haJeJxCSCrwib,alf.io
CALLS/NOM,2.09,AW6YLE7haJeJxCSCrwib,alf.io
CYCLO/LOC,0.21,AW6YLE7haJeJxCSCrwib,alf.io
LOC,3049,AW6YLE7haJeJxCSCrwib,alf.io
CALLS,1577,AW6YLE7haJeJxCSCrwib,alf.io
FANOUT/CALLS,0.17,AW6YLE7haJeJxCSCrwib,alf.io
CYCLO,651,AW6YLE7haJeJxCSCrwib,alf.io
FANOUT,274,AW6YLE7haJeJxCSCrwib,alf.io
AHH,0,AWvEBQp37BGPHuO3iMI5,alf.io
NOC/NOP,5.22,AWvEBQp37BGPHuO3iMI5,alf.io
NOP,40,AWvEBQp37BGPHuO3iMI5,alf.io
NOM/NOC,3.33,AWvEBQp37BGPHuO3iMI5,alf.io
NOC,209,AWvEBQp37BGPHuO3iMI5,alf.io
LOC/NOM,3.8,AWvEBQp37BGPHuO3iMI5,alf.io
NOM,697,AWvEBQp37BGPHuO3iMI5,alf.io
CALLS/NOM,2.05,AWvEBQp37BGPHuO3iMI5,alf.io
CYCLO/LOC,0.21,AWvEBQp37BGPHuO3iMI5,alf.io
LOC,2649,AWvEBQp37BGPHuO3iMI5,alf.io
CALLS,1431,AWvEBQp37BGPHuO3iMI5,alf.io
FANOUT/CALLS,0.16,AWvEBQp37BGPHuO3iMI5,alf.io
CYCLO,576,AWvEBQp37BGPHuO3iMI5,alf.io
FANOUT,242,AWvEBQp37BGPHuO3iMI5,alf.io
AHH,0,AWwkQggbW8tMQ_EcCF5-,alf.io
NOC/NOP,5.14,AWwkQggbW8tMQ_EcCF5-,alf.io
NOP,41,AWwkQggbW8tMQ_EcCF5-,alf.io
NOM/NOC,3.34,AWwkQggbW8tMQ_EcCF5-,alf.io
NOC,211,AWwkQggbW8tMQ_EcCF5-,alf.io
LOC/NOM,3.82,AWwkQggbW8tMQ_EcCF5-,alf.io
NOM,706,AWwkQggbW8tMQ_EcCF5-,alf.io
CALLS/NOM,2.06,AWwkQggbW8tMQ_EcCF5-,alf.io
CYCLO/LOC,0.21,AWwkQggbW8tMQ_EcCF5-,alf.io
LOC,2697,AWwkQggbW8tMQ_EcCF5-,alf.io
CALLS,1457,AWwkQggbW8tMQ_EcCF5-,alf.io
